Soil Type (Region),pH,N,P,K,Humidity (%),Temp (°C),Best Crops,Fertilizer Recommendation
"Ferralsols (Centre, South forest zone)",4.7,93.1,12.5,56.3,78.7,24.3,"Banana, Cocoa, Plantain",Urea + DAP + Lime
Clay soils (Western Highlands),7.5,158.7,34.3,159.4,77.3,19.7,"Beans, Cabbage, Maize",Urea + DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.1,211.7,28.4,99.2,89.9,29.6,"Plantain, Taro, Sugarcane, Rice",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.0,56.8,6.0,61.4,36.6,39.0,"Sesame, Onion, Groundnuts, Watermelon",Urea + MOP
"Ferralsols (Centre, South forest zone)",4.4,133.2,6.1,98.1,82.2,24.5,"Oil Palm, Banana, Plantain",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.9,83.8,18.0,71.3,61.6,25.6,"Maize, Yam, Cassava, Cowpea",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.5,239.2,37.5,96.9,95.1,24.0,"Oil Palm, Rice",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,263.3,39.8,170.2,86.8,19.1,"Avocado, Banana",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.7,79.4,11.6,52.7,80.4,26.8,"Cassava, Cocoa, Banana",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,238.8,46.2,136.9,94.9,22.9,"Irish Potato, Tea",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.6,191.6,50.1,193.2,85.2,20.2,"Irish Potato, Tea, Plantain",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",6.8,59.8,7.8,55.6,35.1,39.4,"Cowpea, Watermelon, Onion",Urea + MOP
Lateritic soils (East region),5.2,103.3,6.7,96.3,84.7,30.3,"Plantain, Yam, Cassava, Groundnuts",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,205.5,55.2,146.9,93.5,18.2,"Plantain, Banana, Avocado",Urea + DAP + Lime
